iter	Passed	Remaining
0	124	37192
1	208	31023
2	270	26750
3	342	25332
4	429	25364
5	495	24283
6	548	22961
7	622	22735
8	694	22455
9	753	21852
10	811	21319
11	867	20830
12	925	20437
13	997	20378
14	1062	20184
15	1123	19944
16	1186	19759
17	1256	19687
18	1321	19550
19	1384	19382
20	1440	19135
21	1517	19172
22	1582	19063
23	1651	18989
24	1719	18917
25	1779	18750
26	1838	18587
27	1900	18466
28	1955	18276
29	2014	18134
30	2070	17963
31	2133	17866
32	2203	17824
33	2266	17735
34	2321	17573
35	2404	17632
36	2493	17726
37	2559	17646
38	2619	17529
39	2678	17413
40	2744	17336
41	2814	17287
42	2875	17187
43	2954	17190
44	3009	17055
45	3073	16970
46	3134	16871
47	3205	16828
48	3271	16759
49	3339	16699
50	3410	16653
51	3471	16554
52	3536	16483
53	3599	16399
54	3639	16210
55	3708	16156
56	3767	16063
57	3838	16014
58	3902	15941
59	3962	15851
60	4032	15799
61	4089	15696
62	4155	15631
63	4219	15560
64	4281	15480
65	4369	15492
66	4433	15418
67	4498	15348
68	4568	15296
69	4676	15366
70	4743	15300
71	4817	15254
72	4843	15061
73	4914	15009
74	4992	14978
75	5055	14901
76	5111	14803
77	5187	14764
78	5265	14730
79	5339	14683
80	5416	14644
81	5484	14580
82	5543	14493
83	5628	14472
84	5708	14439
85	5786	14399
86	6198	15174
87	6294	15165
88	6365	15092
89	6461	15076
90	6665	15309
91	6754	15269
92	6840	15226
93	6922	15170
94	7020	15148
95	7094	15076
96	7179	15025
97	7258	14961
98	7328	14879
99	7405	14810
100	7474	14727
101	7549	14655
102	7616	14568
103	7692	14496
104	7771	14433
105	7841	14351
106	7914	14276
107	7977	14183
108	8043	14095
109	8138	14056
110	8213	13984
111	8295	13924
112	8392	13888
113	8466	13814
114	8631	13885
115	8749	13877
116	8893	13909
117	8987	13862
118	9060	13781
119	9165	13748
120	9231	13655
121	9298	13567
122	9373	13487
123	9437	13394
124	9504	13306
125	9594	13250
126	9699	13213
127	9804	13175
128	9978	13226
129	10060	13155
130	10135	13075
131	10210	12994
132	10281	12909
133	10349	12821
134	10426	12743
135	10485	12644
136	10552	12555
137	10626	12474
138	10705	12400
139	10762	12300
140	10830	12212
141	10902	12131
142	10984	12059
143	11064	11986
144	11138	11906
145	11193	11806
146	11261	11720
147	11325	11631
148	11404	11557
149	11467	11467
150	11537	11384
151	11610	11305
152	11679	11221
153	11753	11142
154	11823	11061
155	11888	10974
156	11959	10893
157	12025	10807
158	12090	10721
159	12155	10635
160	12227	10556
161	12308	10485
162	12383	10408
163	12450	10324
164	12523	10246
165	12587	10160
166	12642	10068
167	12716	9991
168	12774	9901
169	12844	9822
170	12921	9747
171	12989	9666
172	13062	9589
173	13120	9500
174	13181	9415
175	13248	9334
176	13313	9251
177	13370	9164
178	13445	9088
179	13513	9008
180	13572	8923
181	13652	8851
182	13723	8773
183	13795	8697
184	13868	8620
185	13937	8542
186	14009	8465
187	14076	8386
188	14150	8310
189	14218	8231
190	14290	8155
191	14359	8077
192	14424	7996
193	14502	7924
194	14575	7848
195	14635	7765
196	14704	7688
197	14781	7614
198	14853	7538
199	14922	7461
200	14999	7387
201	15068	7310
202	15139	7234
203	15199	7152
204	15261	7072
205	15340	7000
206	15408	6922
207	15474	6844
208	15542	6767
209	15612	6691
210	15685	6616
211	15743	6535
212	15811	6458
213	15881	6382
214	15950	6305
215	16016	6228
216	16084	6151
217	16150	6074
218	16216	5998
219	16287	5922
220	16366	5850
221	16429	5772
222	16505	5699
223	16574	5623
224	16644	5548
225	16715	5473
226	16785	5398
227	16847	5320
228	16906	5241
229	16976	5166
230	17046	5091
231	17107	5014
232	17165	4935
233	17235	4861
234	17291	4782
235	17368	4709
236	17423	4631
237	17493	4557
238	17546	4478
239	17603	4400
240	17664	4324
241	17734	4250
242	17805	4176
243	17875	4102
244	17945	4028
245	18012	3953
246	18180	3901
247	18250	3826
248	18306	3749
249	18363	3672
250	18426	3597
251	18490	3521
252	18551	3446
253	18623	3372
254	18691	3298
255	18818	3234
256	18899	3162
257	18967	3087
258	19023	3011
259	19084	2936
260	19143	2860
261	19218	2787
262	19284	2713
263	19345	2638
264	19414	2564
265	19485	2490
266	19556	2417
267	19622	2342
268	19678	2267
269	19734	2192
270	19802	2119
271	19860	2044
272	19916	1969
273	19985	1896
274	20055	1823
275	20129	1750
276	20202	1677
277	20277	1604
278	20344	1531
279	20415	1458
280	20481	1384
281	20551	1311
282	20609	1238
283	20683	1165
284	20755	1092
285	20824	1019
286	20885	946
287	20969	873
288	21041	800
289	21114	728
290	21194	655
291	21275	582
292	21355	510
293	21446	437
294	21521	364
295	21590	291
296	21659	218
297	21723	145
298	21814	72
299	21882	0
